VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;VALKRETSKOD;VALKRETSNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;ORDNING;KANDIDATNUMMER;NAMN;FOLKBOKFÖRINGSKOMMUN;GILTIG
RD;00;Riket;01;Stockholms kommun;99 Svarta ballonger; ;1;57310;Kalle Kobra;Göteborg;J
RD;00;Riket;01;Stockholms kommun;99 Svarta ballonger; ;2;57272;Sebastian Rudolph Jensen;Göteborg;J
RD;00;Riket;01;Stockholms kommun;99 Svarta ballonger; ;3;57145;Jonas Von Pöbeln;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;1;879;Gustav Kasselstrand;Lidingö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;10;881;Per Sefastsson;Bräcke;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;11;883;Karolina Westman Johansson;Motala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;12;896;Eva-Marie Olsson;Skurup;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;13;902;Marie Nordin;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;15;904;Lennart Matikainen;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;16;888;Arne Weinz;Danderyd;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;17;885;Rolf Nilsson;Vellinge;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;18;905;Marcus Jonsson;Robertsfors;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;19;906;Sven Wingbro;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;2;899;Mikael Jansson;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;20;897;Robert Fabian;Borås;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;21;895;Emil Boström;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;22;907;David Lorentzon;Jönköping;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;23;893;Christoffer Brinkåker;Lund;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;24;908;Peter Westin;Staffanstorp;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;25;909;Hans Åke Max;Vårgårda;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;26;910;Leif Olsson;Österåker;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;27;911;Ola Sundberg;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;28;912;Torgny Darvelid;Sigtuna;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;29;865;Morten Källström;Katrineholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;3;891;Anders Bergström;Värmdö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;30;913;Bengt-Arne Landgren;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;31;889;Anne Havefeldt;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;32;914;Björn Sandberg;Täby;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;33;916;Ralf Hjälte;Pajala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;34;917;Samuel Lundblad;Flen;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;35;919;Pekka Hyvärinen;Strängnäs;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;36;920;Anita Berg;Katrineholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;37;921;Henrik Andersson;Tingsryd;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;38;922;Gabriella Svensson;Mariestad;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;39;923;Hans Johansson;Östersund;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;4;892;Claes Lindh;Gullspång;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;40;25135;Mats Loman;Hässleholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;41;925;Hans Jörgen Holmboe;Osby;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;42;882;Isak Nygren;Katrineholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;43;926;David Bergquist;Nacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;44;898;Arvid Eriksson;Sala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;45;918;Lars-Anders Espert;Burlöv;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;46;887;Peter Sjöstrand; ;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;47;927;Immanuel Havneraas;Alvesta;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;48;4310;Finn Lundström;Bollebygd;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;49;930;Bo Adolfsson;Huddinge;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;5;900;Roger Richthoff;Strängnäs;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;50;890;Jens Hultman;Hässleholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;51;933;Oscar Bülow;Linköping;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;52;934;Johan Pettersson;Gotland;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;53;935;Jonas Hellsten;Uddevalla;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;54;936;Sebastian Björklund;Ale;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;55;937;Elisabeth Peterson;Växjö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;56;938;Jerzy R. Golowkin;Hylte;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;57;886;Per Waborg;Lerum;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;58;940;Stig Saether; ;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;59;942;Stellan Stellanssen;Borlänge;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;6;880;Sven Valerio;Örnsköldsvik;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;60;944;Robin Eklund;Bjuv;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;61;945;Hans-Olof Karlsson;Värnamo;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;62;946;Tommy M Josefsson;Helsingborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;63;950;Michael Eclundh;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;64;952;Mirella Forsberg Ahlcrona;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;65;1022;Kent Petersson;Kalmar;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;66;953;Lars Andersson;Hudiksvall;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;67;1093;Hans Söderberg;Malmö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;68;1873;Andrej Valentinasson Mishko;Norrköping;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;7;901;Mattias From;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;70;12654;Jimmy Björklund;Vänersborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;71;5162;Mina Dusegård;Sjöbo;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;72;1092;Kent Wiklund;Sollentuna;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;8;884;Simon O. Pettersson;Uppsala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;9;894;Christopher Bergman;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternative for Immigrants;AfI; ;1545;Alija, Afrodita; ;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;1;56639;Elsa Widding;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;11;56648;Ulf Gabrielsson;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;12;52515;Anneli Kullberg;Mark;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;13;56649;Cecilia Strandevall;Alingsås;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;14;56650;Daniel Perminger;Ängelholm;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;16;56652;Micael Hamberg;Uppsala;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;17;56653;Torbjörn Sassersson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;18;56320;Bert Cedergren;Gotland;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;19;56654;Ronny Svarto;Vilhelmina;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;2;56640;Bo Hansson;Sollentuna;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;20;56655;Olga Makarycheva;Vilhelmina;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;21;56656;Erika Dittmer;Lidingö;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;23;56658;Thomas Malmberg;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;24;56659;Per-Olov Olsen;Torsby;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;25;56660;Ann-Sofi Lorefält;Linköping;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;26;56661;Li Sam Björk;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;27;951;Carl-Johan Öving;Kalmar;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;28;56662;Arne Carlsson;Haninge;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;29;948;Lennart Åke Ström;Tidaholm;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;3;56641;Marina Eriksson;Norrköping;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;30;56663;Olga Palchevskaya;Uppsala;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;31;56664;Staffan Andersson;Tranås;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;32;56665;Marita Carlsson;Gullspång;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;33;56666;Sonja Grbovic;Malmö;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;34;56668;Jilla Avonti;Alingsås;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;35;56669;Stefan Sundström;Sundsvall;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;36;56670;Gert-Ove Andersson;Norrtälje;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;37;56672;Torbjörn Sjödin;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;4;56642;Thomas Åkerberg;Ekerö;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;5;56643;Olle Larsson;Härjedalen;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;6;56644;Unni Björnerfors;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;7;17207;Anders Hedberg;Bollnäs;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;8;56645;Barbara Åberg;Skurup;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;9;56646;Percy Andersson;Östhammar;J
RD;00;Riket;01;Stockholms kommun;AMORISTERNA;AMO; ;56907;Tufekciev, Nake;Stockholm;J
RD;00;Riket;01;Stockholms kommun;AMORISTERNA;AMO; ;57962;Ahlner Cederklint, James;Stockholm;J
RD;00;Riket;01;Stockholms kommun;AMORISTERNA;AMO; ;57858;Cruz Polanco, Romero;Stockholm;J
RD;00;Riket;01;Stockholms kommun;AMORISTERNA;AMO; ;55174;Vesterberg, Fredrik;Nacka;J
RD;00;Riket;01;Stockholms kommun;AMORISTERNA;AMO; ;56123;Gustafsson, Jenny; ;J
RD;00;Riket;01;Stockholms kommun;ansvarsfull intelligens i politiken ;aip; ;57996;Kärrman, Carl Johan Oscar;Stockholm;J
RD;00;Riket;01;Stockholms kommun;ANTI-AUKTORITÄRA AKTIONS PARTIET; ; ;57976;Ocampo Sandgren, Christine;Malmö;J
RD;00;Riket;01;Stockholms kommun;ANTI-AUKTORITÄRA AKTIONS PARTIET; ;1;56216;Henrik Bergenheim;Lund;J
RD;00;Riket;01;Stockholms kommun;ANTI-AUKTORITÄRA AKTIONS PARTIET; ;2;56217;Peter Ramprasad;Lund;J
RD;00;Riket;01;Stockholms kommun;Anti-partiet Partiet; ; ;57802;Lundin, Filip;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;1;3791;Anders Ygeman;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;10;3800;Lisa Diaz Cardenas;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;11;3801;Curre Hansson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;12;3802;Camila Salazar Atias;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;13;3803;Petter Martinsson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;14;3804;Annie Ross;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;15;3805;Alexander Petersson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;16;3806;Frida Bengtsson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;17;3807;Jesper Lacour Lindholm;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;18;3808;Diana Ghafour;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;19;3809;Bawer Kevir;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;2;3792;Lawen Redar; ;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;20;3810;Elfva Barrio;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;21;3811;Felix Finnveden;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;22;3812;Laila Abdallah;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;23;3813;Jamal Elmourabit;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;24;3814;Nimo Salah Abdi;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;25;3815;Elvir Kazinic;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;26;3816;Anna Quarnström;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;27;3817;Emil Nordfjell;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;28;3818;Elin Sundin;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;29;3819;Stephan Guiance;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;3;3793;Mattias Vepsä;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;30;11618;Sevval Karaduman;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;31;3820;Gustav Österman;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;32;3821;Emma Fastesson Lindgren;Vaxholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;33;3822;Moissis Nikolaidis;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;34;3823;Alganesh Tesfalidet;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;35;3824;Filmon Gorfu Bitew;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;36;3825;Ewa Carlsson Hallberg;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;37;3826;Stefan Wanngård Johansson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;38;3827;Embla Löfqvist;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;39;3828;Sven Britton;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;4;3794;Talla Alkurdi;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;40;3829;Shadé Jalali;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;41;3830;Paul Bodén;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;42;3831;Fadumo Dahir Igal;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;43;3832;Leif Sahi;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;44;3833;Maja Lundqvist;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;45;3834;Anton Levein;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;46;3835;Felicia Schartner Giertta;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;47;3836;Robin Vamos Fecher;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;48;3837;Lowisa Lowe Ivman Anderzon;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;49;3838;Andreas Lind;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;5;3795;Kadir Kasirga;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;50;3839;Anna Ekström;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;6;3796;Jytte Guteland; ;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;7;3797;Markus Kallifatides;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;8;3798;Mirja Räihä;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Arbetarepartiet-Socialdemokraterna;S;9;3799;Daniel Vencu Velasquez Castro;Stockholm;J
RD;00;Riket;01;Stockholms kommun;BarnDemokraterna; ; ;57708;Hälleråd, Anders;Hammarö;J
RD;00;Riket;01;Stockholms kommun;BarnDemokraterna; ; ;57687;Roos Fahlcrantz, Maria;Åre;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;1;6983;Elisabeth Thand Ringqvist;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;10;1822;Catarina Deremar;Tierp;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;11;6988;Emma Brihall;Jönköping;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;12;2049;Christofer Bergenblock;Varberg;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;13;6989;Birte Sandberg;Tomelilla;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;14;4913;Helena Vilhelmsson;Nora;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;15;6990;Niels Paarup-Petersen;Malmö;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;16;6991;Magnus Haara;Höör;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;17;6992;Ulrika Liljeberg;Leksand;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;18;6993;Caroline Schmidt;Hudiksvall;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;19;6994;Daniel Bäckström;Säffle;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;2;2089;Rickard Nordin;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;20;1874;Martina Johansson;Trosa;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;21;1960;Kristina Jonäng;Uddevalla;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;22;2075;Anders Wigelsbo;Sala;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;23;1918;Amalie Levring Waara;Övertorneå;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;24;2411;Anne-Li Sjölund;Sundsvall;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;25;1964;Emmy Ahlstedt;Mörbylånga;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;26;3481;Mikael Larsson;Mark;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;27;1975;Mattias Andersson;Växjö;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;28;6995;Kevin Ny;Ronneby;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;29;1928;Hanna Mattsson Wagenius;Östersund;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;3;4856;Ulrika Heie;Skövde;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;30;6996;Lars Thomsson;Gotland;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;31;2123;Anna Lasses;Nacka;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;32;1915;Rasmus Elfström;Solna;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;33;2172;Svante Linusson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;34;47494;Birgitta Ohlsson;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;35;2191;Emmyly Bönfors Jansson;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;36;6998;Maria Persdotter;Motala;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;37;1932;Annette Linander;Lund;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;38;2028;Aida Karimli;Ale;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;39;1823;Nora Karlsson;Uppsala;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;4;6984;Martin Ådahl;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;40;6999;Anders Karlsson;Nässjö;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;41;1987;Jenny Håkansson;Halmstad;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;42;1980;Viktoria Österling;Ängelholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;43;4914;Jimmy Nordengren;Örebro;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;44;7000;Emelie Rossheim;Helsingborg;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;45;7001;Emma Järund;Helsingborg;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;46;7002;Jonas Grenfeldt;Falun;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;47;2112;Julia Brozin;Gävle;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;48;7003;Kristina Lundberg;Sunne;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;49;1875;William Larsson;Eskilstuna;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;5;6985;Madelaine Jakobsson;Nordmaling;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;50;6191;Julia Algotsson;Umeå;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;51;1974;Tobias Leverin;Grästorp;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;52;1930;Kenny Tinmark;Trollhättan;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;53;1983;Milena Axklo;Västerås;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;54;2015;Matilda Danielsson;Piteå;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;55;2412;Kristina Eriksson;Sollefteå;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;56;7004;Martin Joelsson;Västervik;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;57;2147;Sanna Arnfjorden Wadström;Vårgårda;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;58;6348;Angelica Karlsson;Lessebo;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;59;7005;Sofie Ekenberg;Karlshamn;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;6;6928;Kerstin Lundgren;Södertälje;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;60;2058;Karin Jonsson;Krokom;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;61;7006;Sara Lundin;Gotland;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;62;2115;Hanna Stenegren;Vallentuna;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;63;6997;Estrid Faust;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;7;6986;Muharrem Demirok; ;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;8;6987;Stina Larsson;Kävlinge;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;9;4846;Anders Ådahl;Mölndal;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;1;6983;Elisabeth Thand Rinqvist;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;10;8496;Leo Gerdén;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;11;1950;Eva Koch;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;12;8497;Fredrik Lindstål;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;13;2136;Ellinor Moberg;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;14;8498;Erik Thonfors;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;15;2027;Hedda Grew;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;16;2192;Göran Agardh;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;17;8499;Lena Sandström;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Centerpartiet;C;18;1907;John Hultengård;Stockholm;J
