typ,nyckel,namn
region,1883,Örebro läns Västra
region,1884,Örebro läns Norra
region,1885,Örebro läns Norra
region,1904,Västra valkretsen
region,1907,Västra valkretsen
region,1960,Västra valkretsen
region,1961,Västra valkretsen
region,1962,Västra valkretsen
region,1980,Östra valkretsen
region,1981,Östra valkretsen
region,1982,Västra valkretsen
region,1983,Västra valkretsen
region,1984,Västra valkretsen
region,2021,Region Dalarna
region,2023,Region Dalarna
region,2026,Region Dalarna
region,2029,Region Dalarna
region,2031,Region Dalarna
region,2034,Region Dalarna
region,2039,Region Dalarna
region,2061,Region Dalarna
region,2062,Region Dalarna
region,2080,Region Dalarna
region,2081,Region Dalarna
region,2082,Region Dalarna
region,2083,Region Dalarna
region,2084,Region Dalarna
region,2085,Region Dalarna
region,2101,Region Gävleborg
region,2104,Region Gävleborg
region,2121,Region Gävleborg
region,2132,Region Gävleborg
region,2161,Region Gävleborg
region,2180,Region Gävleborg
region,2181,Region Gävleborg
region,2182,Region Gävleborg
region,2183,Region Gävleborg
region,2184,Region Gävleborg
region,2260,Region Västernorrland
region,2262,Region Västernorrland
region,2280,Region Västernorrland
region,2281,Region Västernorrland
region,2282,Region Västernorrland
region,2283,Region Västernorrland
region,2284,Region Västernorrland
region,2303,Jämtland/Härjedalen
region,2305,Jämtland/Härjedalen
region,2309,Jämtland/Härjedalen
region,2313,Jämtland/Härjedalen
region,2321,Jämtland/Härjedalen
region,2326,Jämtland/Härjedalen
region,2361,Jämtland/Härjedalen
region,2380,Jämtland/Härjedalen
region,2401,Västerbottens läns södra
region,2403,Västerbottens läns södra
region,2404,Västerbottens läns södra
region,2409,Västerbottens läns södra
region,2417,Västerbottens läns norra
region,2418,Västerbottens läns västra
region,2421,Västerbottens läns västra
region,2422,Västerbottens läns västra
region,2425,Västerbottens läns västra
region,2460,Västerbottens läns södra
region,2462,Västerbottens läns västra
region,2463,Västerbottens läns västra
region,2480,Västerbottens läns södra
region,2481,Västerbottens läns västra
region,2482,Västerbottens läns norra
region,2505,Norrbottens läns valkrets
