niva,kod,namn,val,parti,andel
kommun,0139,,KF,L,5.35
kommun,0139,,KF,M,25.81
kommun,0139,,KF,MP,2.57
kommun,0139,,KF,S,28.37
kommun,0139,,KF,SD,17.62
kommun,0139,,KF,V,8.24
kommun,0140,,KF,C,4.91
kommun,0140,,KF,KD,2.68
kommun,0140,,KF,L,4.61
kommun,0140,,KF,M,22.36
kommun,0140,,KF,MP,2.2
kommun,0140,,KF,Nykvarnspartiet,16.73
kommun,0140,,KF,S,24.45
kommun,0140,,KF,SD,19.85
kommun,0140,,KF,V,1.86
kommun,0160,,KF,C,8.33
kommun,0160,,KF,KD,5.56
kommun,0160,,KF,L,14.3
kommun,0160,,KF,M,39.52
kommun,0160,,KF,MP,3.81
kommun,0160,,KF,S,17.0
kommun,0160,,KF,SD,8.33
kommun,0160,,KF,V,2.16
kommun,0162,,KF,C,21.8
kommun,0162,,KF,KD,6.62
kommun,0162,,KF,L,11.12
kommun,0162,,KF,M,36.47
kommun,0162,,KF,MP,3.59
kommun,0162,,KF,Medborgerlig Samling,1.67
kommun,0162,,KF,Nya Danderydspartiet,1.29
kommun,0162,,KF,S,9.78
kommun,0162,,KF,SD,5.71
kommun,0162,,KF,V,1.8
kommun,0163,,KF,C,7.21
kommun,0163,,KF,KD,5.4
kommun,0163,,KF,L,8.01
kommun,0163,,KF,M,29.53
kommun,0163,,KF,MP,4.29
kommun,0163,,KF,S,27.68
kommun,0163,,KF,SD,8.62
kommun,0163,,KF,Sollentunapartiet,1.96
kommun,0163,,KF,V,6.13
kommun,0180,,KF,C,6.69
kommun,0180,,KF,Feministiskt initiativ,1.18
kommun,0180,,KF,KD,3.83
kommun,0180,,KF,L,7.98
kommun,0180,,KF,M,18.33
kommun,0180,,KF,MP,6.03
kommun,0180,,KF,Medborgerlig Samling,1.17
kommun,0180,,KF,S,29.43
kommun,0180,,KF,SD,8.03
kommun,0180,,KF,V,15.37
kommun,0181,,KF,C,4.78
kommun,0181,,KF,KD,9.28
kommun,0181,,KF,L,3.77
kommun,0181,,KF,M,18.71
kommun,0181,,KF,MP,4.64
kommun,0181,,KF,Realistpartiet,4.05
kommun,0181,,KF,S,30.44
kommun,0181,,KF,SD,15.7
kommun,0181,,KF,V,7.47
kommun,0182,,KF,C,7.6
kommun,0182,,KF,KD,3.34
kommun,0182,,KF,L,5.54
kommun,0182,,KF,M,31.5
kommun,0182,,KF,MP,5.18
kommun,0182,,KF,Nackalistan,11.21
kommun,0182,,KF,S,21.58
kommun,0182,,KF,SD,7.25
kommun,0182,,KF,V,5.83
kommun,0183,,KF,C,7.05
kommun,0183,,KF,KD,4.12
kommun,0183,,KF,L,7.07
kommun,0183,,KF,M,21.6
kommun,0183,,KF,MP,4.83
kommun,0183,,KF,S,30.79
kommun,0183,,KF,SD,9.84
kommun,0183,,KF,V,13.3
kommun,0184,,KF,C,6.44
kommun,0184,,KF,KD,3.38
kommun,0184,,KF,L,6.72
kommun,0184,,KF,M,26.8
kommun,0184,,KF,MP,4.49
kommun,0184,,KF,S,32.76
kommun,0184,,KF,SD,7.98
kommun,0184,,KF,V,9.51
kommun,0186,,KF,C,14.49
kommun,0186,,KF,KD,5.09
kommun,0186,,KF,L,8.74
kommun,0186,,KF,Lidingöpartiet,16.91
kommun,0186,,KF,M,28.03
kommun,0186,,KF,MP,3.83
kommun,0186,,KF,S,13.18
kommun,0186,,KF,SD,5.46
kommun,0186,,KF,V,3.7
kommun,0187,,KF,C,12.72
kommun,0187,,KF,KD,2.8
kommun,0187,,KF,L,4.75
kommun,0187,,KF,M,25.02
kommun,0187,,KF,MP,2.84
kommun,0187,,KF,S,13.86
kommun,0187,,KF,SD,6.92
kommun,0187,,KF,V,6.47
kommun,0187,,KF,Vaxholmsdemokraterna,4.8
kommun,0187,,KF,Waxholmspartiet - borgerligt alternativ,19.46
kommun,0188,,KF,C,6.92
kommun,0188,,KF,KD,3.65
kommun,0188,,KF,L,6.25
kommun,0188,,KF,M,25.11
kommun,0188,,KF,MP,3.17
kommun,0188,,KF,Roslagens oberoende parti,1.6
kommun,0188,,KF,S,27.76
