kommunkod,syssgrad,arbloshet,arbloshet_ung,langtidsarbl,medianink,lag_ekstand,ekbistand,gini,hyresratt,trangbodd,brott,tathet,tatortsgrad,utrikesfodda,medelalder,ensamhushall,valdeltagande
1287,81.9,5.299508,4.027979,3.968829,362600.0,14.0,2.516667,0.288,34.124439,16.048006,8654.17743,135.97352941,85.0,18.36481,42.7,44.992362,85.0
1290,79.5,7.15153,6.132612,5.354254,351000.0,19.0,3.826466,0.309,40.89156,17.988271,11342.78084,69.60122749,86.0,19.857502,42.5,46.394575,84.0
1291,80.4,4.169433,3.203374,2.747839,338200.0,16.0,2.034183,0.357,31.813362,12.253165,7396.78151,49.11292378,74.0,12.928594,50.3,48.737504,87.0
1292,85.1,3.421815,3.029306,2.442284,382000.0,11.0,2.005964,0.319,38.814801,9.41054,8327.55031,103.93758933,86.0,13.165266,43.9,45.280351,87.0
1293,79.6,6.536383,6.004707,4.767626,343400.0,18.0,3.918349,0.291,34.143383,14.292311,11406.40822,41.20311294,81.0,17.336592,43.6,47.369282,85.0
1315,81.3,6.370779,3.154939,4.959914,343700.0,21.0,6.068425,0.308,34.486267,35.763889,11193.85286,11.21899167,68.0,24.311927,43.1,42.68559,83.0
1380,81.1,5.233767,3.374046,3.865003,359500.0,15.0,2.071366,0.303,47.492044,17.153862,12924.79055,103.14038012,93.0,20.207707,41.6,47.561822,85.0
1381,83.8,3.906446,3.418896,2.844349,356500.0,15.0,2.479774,0.314,28.044808,16.998715,9260.02949,29.82018831,74.0,15.322672,44.6,40.715902,86.0
1382,84.3,4.096464,3.259233,3.030072,358400.0,14.0,2.399132,0.303,29.8836,15.298079,10348.65124,42.19828403,81.0,15.249803,43.8,42.947329,86.0
1383,86.8,2.515961,2.013865,1.725864,386500.0,10.0,1.69174,0.296,38.133937,8.911545,7667.82192,76.74099999,81.0,11.657817,43.7,43.255483,89.0
1384,88.7,1.77348,1.713368,1.304297,435700.0,6.0,1.580401,0.34,23.498408,8.299839,6950.2402,140.6261334,87.0,9.539516,42.0,35.769452,91.0
1401,87.4,2.359115,1.884019,1.497131,435000.0,7.0,1.700116,0.295,26.147705,16.031054,9813.6299,146.2761569,91.0,13.125597,39.8,36.521355,90.0
1402,84.4,3.351612,2.834157,2.5105,416300.0,9.0,1.839305,0.303,36.828371,14.372025,10188.83611,695.68813798,99.0,20.867209,39.8,40.282967,86.0
1407,87.0,1.826405,2.613052,1.453269,420000.0,5.0,1.734375,0.31,17.391304,5.635838,5229.16504,501.04854369,97.0,6.90625,46.1,33.643953,92.0
1415,87.4,2.50184,2.360464,1.747689,419800.0,9.0,2.081091,0.276,28.719405,11.174882,9417.96268,109.42302347,82.0,11.761751,41.7,42.600414,89.0
1419,86.7,1.814091,2.21395,1.266088,406700.0,8.0,2.021505,0.348,13.724374,22.682119,6180.37867,97.47236331,72.0,9.388633,46.5,39.073211,90.0
1421,84.7,2.76567,1.693878,1.707307,376400.0,12.0,1.965618,0.308,20.916092,12.430279,6944.08322,39.70245796,46.0,9.237755,48.2,42.935679,89.0
1427,85.1,2.074264,3.095975,1.705176,384100.0,10.0,1.943231,0.363,29.166667,9.564086,7798.74213,66.02749638,82.0,10.633188,50.6,47.896851,89.0
1430,83.7,3.616221,5.304622,2.498864,356000.0,17.0,3.16695,0.261,29.439252,20.155969,11102.71189,16.70057887,62.0,12.1384,44.4,45.751108,85.0
1435,84.9,2.576319,2.775089,2.28622,361600.0,14.0,2.297702,0.316,25.641413,18.50348,7721.91854,14.13572036,46.0,12.372243,46.9,45.935881,88.0
1438,81.1,4.15,3.293173,2.450412,348900.0,18.0,3.784946,0.264,34.785962,10.088692,6889.21964,6.56606795,63.0,14.451613,46.5,50.343348,84.0
1439,81.5,4.811353,3.627622,3.093469,353600.0,19.0,6.434275,0.262,29.721457,13.636364,7396.08801,11.16563375,56.0,11.547912,45.4,47.24888,86.0
1440,86.6,2.570646,2.74168,1.840313,397600.0,9.0,1.975675,0.246,27.524956,16.08009,7638.43698,101.41324921,83.0,18.28425,39.6,38.7429,86.0
1441,88.5,2.369083,2.649972,1.792191,427100.0,6.0,1.773245,0.281,17.297328,13.342599,7180.07706,167.85534713,93.0,11.222896,40.1,35.66108,91.0
